#multiword-expression	sentiment-view	polarity
bite_the_dust	SPEAKER	NEGATIVE
blaze_a_trail	SPEAKER	POSITIVE
bleed_to_death	ACTOR	NEGATIVE
blow_a_gasket	SPEAKER	NEGATIVE
blow_one's_cool	SPEAKER	NEGATIVE
blow_one's_mind	ACTOR	NEUTRAL
blow_one's_stack	SPEAKER	NEGATIVE
blow_one's_top	SPEAKER	NEGATIVE
blow_out_of_proportion	SPEAKER	NEGATIVE
blow_with_the_wind	SPEAKER	NEUTRAL
break_a_sweat	ACTOR	NEUTRAL
break_ground	SPEAKER	POSITIVE
break_new_ground	SPEAKER	POSITIVE
break_one's_heart	ACTOR	NEGATIVE
break_one's_neck	SPEAKER	POSITIVE
break_the_bank	SPEAKER	NEGATIVE
break_the_cycle	ACTOR	POSITIVE
break_the_ice	ACTOR	POSITIVE
break_the_mold	SPEAKER	POSITIVE
break_the_news	ACTOR	NEUTRAL
break_the_silence	SPEAKER	NEUTRAL
break_the_spell	SPEAKER	NEUTRAL
break_wind	SPEAKER	NEGATIVE
breathe_a_sigh_of_relief	ACTOR	POSITIVE
bridge_the_gap	SPEAKER	POSITIVE
bring_back_to_life	SPEAKER	POSITIVE
bring_down_the_house	SPEAKER	POSITIVE
bring_home	SPEAKER	POSITIVE
bring_home_the_bacon	SPEAKER	POSITIVE
bring_the_house_down	SPEAKER	POSITIVE
bring_to_justice	SPEAKER	NEGATIVE
bring_to_light	SPEAKER	NEUTRAL
bring_to_mind	ACTOR	NEUTRAL
bring_to_the_table	SPEAKER	POSITIVE
buck_the_trend	ACTOR	NEGATIVE
burn_in_hell	SPEAKER	NEGATIVE
burn_to_death	ACTOR	NEGATIVE
burst_into_flame	SPEAKER	NEGATIVE
burst_into_tears	ACTOR	NEGATIVE
burst_someone's_bubble	ACTOR	NEGATIVE
bury_the_hatchet	ACTOR	POSITIVE
bust_a_gut	SPEAKER	NEUTRAL
bust_a_move	SPEAKER	NEUTRAL
bust_someone's_bubble	SPEAKER	NEGATIVE
button_one's_lip	ACTOR	NEUTRAL
button_one’s_lip	ACTOR	NEUTRAL
buy_a_pup	SPEAKER	NEGATIVE
buy_the_farm	SPEAKER	NEGATIVE
buy_the_plot	SPEAKER	NEGATIVE
buy_the_ranch	SPEAKER	NEGATIVE
call_a_spade_a_spade	SPEAKER	NEUTRAL
call_into_question	ACTOR	NEGATIVE
call_to_mind	ACTOR	POSITIVE
carpe_diem	SPEAKER	NEUTRAL
carry_a_tune	SPEAKER	POSITIVE
carry_coals_to_Newcastle	SPEAKER	NEGATIVE
carry_the_day	SPEAKER	POSITIVE
cast_a_shadow	SPEAKER	NEGATIVE
cast_doubt	ACTOR	NEUTRAL
catch_dust	SPEAKER	NEGATIVE
catch_fire	SPEAKER	POSITIVE
catch_one's_breath	ACTOR	NEUTRAL
catch_one's_drift	ACTOR	POSITIVE
catch_the_eye	ACTOR	NEUTRAL
cause_a_stir	SPEAKER	NEUTRAL
cause_trouble	SPEAKER	NEGATIVE
chalk_up_to	SPEAKER	NEUTRAL
change_course	ACTOR	NEUTRAL
change_one's_mind	ACTOR	NEUTRAL
change_one's_tune	ACTOR	NEUTRAL
change_one's_ways	ACTOR	NEUTRAL
change_the_channel	ACTOR	POSITIVE
change_the_course_of_history	SPEAKER	NEUTRAL
change_the_subject	ACTOR	NEUTRAL
chew_the_scenery	SPEAKER	NEGATIVE
chomp_at_the_bit	ACTOR	NEGATIVE
clean_house	ACTOR	POSITIVE
clean_up_one's_act	SPEAKER	POSITIVE
clear_one's_head	ACTOR	POSITIVE
clear_the_air	SPEAKER	POSITIVE
climb_the_wall	SPEAKER	NEGATIVE
close_one's_eyes	SPEAKER	NEGATIVE
cock_a_snook	SPEAKER	NEGATIVE
coin_a_phrase	SPEAKER	NEUTRAL
collect_dust	SPEAKER	NEGATIVE
come_a_long_way	SPEAKER	POSITIVE
come_at_a_price	SPEAKER	NEGATIVE
come_back_from_the_dead	SPEAKER	POSITIVE
come_down_to_earth	SPEAKER	POSITIVE
come_full_circle	SPEAKER	NEUTRAL
come_hell_or_high_water	SPEAKER	POSITIVE
come_into_contact	ACTOR	NEUTRAL
come_into_focus	SPEAKER	NEUTRAL
come_into_one's_own	SPEAKER	POSITIVE
come_into_play	SPEAKER	NEUTRAL
come_into_power	ACTOR	POSITIVE
come_into_the_world	SPEAKER	NEUTRAL
come_of_age	SPEAKER	POSITIVE
come_on_the_scene	SPEAKER	NEUTRAL
come_out_of_one's_shell	SPEAKER	POSITIVE
come_out_of_the_blue	SPEAKER	NEUTRAL
come_out_of_the_closet	ACTOR	NEUTRAL
come_out_on_top	SPEAKER	POSITIVE
come_to_a_climax	SPEAKER	NEUTRAL
come_to_a_conclusion	ACTOR	NEUTRAL
come_to_a_halt	SPEAKER	NEGATIVE
come_to_a_head	SPEAKER	NEGATIVE
come_to_fruition	SPEAKER	POSITIVE
come_to_grips	ACTOR	NEGATIVE
come_to_grips_with	ACTOR	NEGATIVE
come_to_life	SPEAKER	POSITIVE
come_to_light	SPEAKER	NEGATIVE
come_to_mind	ACTOR	NEUTRAL
come_to_one's_aid	SPEAKER	POSITIVE
come_to_power	SPEAKER	POSITIVE
come_to_someone's_rescue	ACTOR	POSITIVE
come_to_terms	ACTOR	POSITIVE
come_to_terms_with	ACTOR	POSITIVE
come_to_the_fore	SPEAKER	NEUTRAL
come_to_the_point	SPEAKER	POSITIVE
come_to_the_rescue	SPEAKER	POSITIVE
come_what_may	SPEAKER	POSITIVE
commit_a_crime	SPEAKER	NEGATIVE
commit_a_murder	SPEAKER	NEGATIVE
commit_suicide	ACTOR	NEGATIVE
cool_one's_heels	ACTOR	NEGATIVE
corner_the_market	SPEAKER	NEUTRAL
cost_a_fortune	SPEAKER	NEGATIVE
cost_an_arm_and_a_leg	SPEAKER	NEGATIVE
cost_money	SPEAKER	NEGATIVE
cost_one_one's_life	SPEAKER	NEGATIVE
could_care_less	ACTOR	NEGATIVE
count_the_days	ACTOR	POSITIVE
count_to_ten	SPEAKER	NEGATIVE
crack_a_smile	SPEAKER	NEUTRAL
cross_one's_mind	ACTOR	NEUTRAL
cross_the_line	SPEAKER	NEGATIVE
cross_the_rubicon	SPEAKER	NEGATIVE
cry_like_a_baby	SPEAKER	NEGATIVE
cry_like_a_little_girl	SPEAKER	NEGATIVE
cry_one's_eyes_out	ACTOR	NEGATIVE
cry_wolf	SPEAKER	NEGATIVE
cut_a_swath	SPEAKER	NEUTRAL
cut_a_wide_swath	SPEAKER	NEUTRAL
cut_one's_losses	SPEAKER	POSITIVE
cut_one's_teeth	ACTOR	POSITIVE
cut_the_cheese	SPEAKER	NEGATIVE
cut_the_mustard	SPEAKER	POSITIVE
cut_to_the_bone	ACTOR	NEGATIVE
cut_to_the_chase	SPEAKER	POSITIVE
cut_to_the_quick	ACTOR	NEGATIVE
damn_with_faint_praise	SPEAKER	NEUTRAL
declare_war	ACTOR	NEGATIVE
defeat_the_purpose	SPEAKER	NEGATIVE
deliver_the_goods	SPEAKER	POSITIVE
develop_feelings	ACTOR	POSITIVE
dip_one's_toe_in_the_water	ACTOR	NEUTRAL
direct_one's_attention_to	ACTOR	NEUTRAL
do_a_double_take	ACTOR	NEUTRAL
do_a_number	SPEAKER	NEGATIVE
do_battle	ACTOR	NEGATIVE
do_bird	SPEAKER	NEGATIVE
do_full_justice_to	SPEAKER	POSITIVE
do_good	SPEAKER	POSITIVE
do_justice	SPEAKER	POSITIVE
do_more_harm_than_good	SPEAKER	NEGATIVE
do_no_good	SPEAKER	NEGATIVE
do_no_harm	SPEAKER	POSITIVE
do_one's_best	SPEAKER	POSITIVE
do_one's_bit	SPEAKER	POSITIVE
do_one's_duty	ACTOR	POSITIVE
do_one's_nut	SPEAKER	NEGATIVE
do_one's_own_thing	SPEAKER	NEUTRAL
do_one's_stuff	SPEAKER	POSITIVE
do_one's_thing	SPEAKER	NEGATIVE
do_one's_very_best	SPEAKER	POSITIVE
do_one_a_disservice	SPEAKER	NEGATIVE
do_one_a_favour	ACTOR	POSITIVE
do_one_justice	SPEAKER	POSITIVE
do_porridge	SPEAKER	NEGATIVE
do_the_deed	ACTOR	NEUTRAL
do_the_math	ACTOR	NEUTRAL
do_the_right_thing	SPEAKER	POSITIVE
do_the_trick	SPEAKER	POSITIVE
do_time	SPEAKER	NEGATIVE
do_to_death	SPEAKER	NEGATIVE
do_wrong	SPEAKER	NEGATIVE
draw_a_line	ACTOR	NEUTRAL
draw_attention	ACTOR	NEUTRAL
draw_blood	SPEAKER	NEGATIVE
draw_one's_attention	ACTOR	NEUTRAL
draw_one's_last_breath	SPEAKER	NEGATIVE
draw_the_line	ACTOR	NEGATIVE
drive_home	ACTOR	NEUTRAL
drop_names	SPEAKER	NEGATIVE
drop_one_a_line	ACTOR	NEUTRAL
drop_the_ball	SPEAKER	NEGATIVE
earn_a_living	SPEAKER	POSITIVE
earn_one's_crust	SPEAKER	POSITIVE
earn_one's_living	SPEAKER	POSITIVE
ease_one's_mind	ACTOR	POSITIVE
eat_crow	ACTOR	NEGATIVE
eat_humble_pie	ACTOR	NEGATIVE
eat_one's_heart_out	ACTOR	NEGATIVE
eat_one's_words	ACTOR	NEGATIVE
empty_the_tank	SPEAKER	POSITIVE
enter_the_fray	ACTOR	POSITIVE
err_on_the_side_of	ACTOR	POSITIVE
err_on_the_side_of_caution	ACTOR	POSITIVE
exercise_one's_right	ACTOR	POSITIVE
express_an_interest	ACTOR	POSITIVE
express_disappointment	ACTOR	NEGATIVE
face_the_music	SPEAKER	NEGATIVE
fall_by_the_wayside	SPEAKER	NEGATIVE
fall_flat_on_one's_face	SPEAKER	NEGATIVE
fall_from_grace	SPEAKER	NEGATIVE
fall_in_line	SPEAKER	POSITIVE
fall_in_love	ACTOR	POSITIVE
fall_into_place	SPEAKER	POSITIVE
fall_on_hard_times	SPEAKER	NEGATIVE
fall_on_one's_face	SPEAKER	NEGATIVE
fall_out_of_love	ACTOR	NEGATIVE
fall_prey	SPEAKER	NEGATIVE
fall_to_the_ground	SPEAKER	NEGATIVE
fall_under_one's_spell	ACTOR	NEGATIVE
fall_under_the_spell	ACTOR	POSITIVE
fall_victim	SPEAKER	NEGATIVE
fan_the_flames	SPEAKER	NEGATIVE
feel_one's_way	ACTOR	NEUTRAL
feel_out_of_place	ACTOR	NEGATIVE
feel_sorry	ACTOR	NEGATIVE
feel_the_burn	ACTOR	NEGATIVE
feel_the_heat	ACTOR	NEGATIVE
fell_into_place	SPEAKER	POSITIVE
fight_fire_with_fire	ACTOR	NEGATIVE
fight_the_good_fight	SPEAKER	POSITIVE
fight_to_the_death	ACTOR	NEGATIVE
fight_tooth_and_nail	SPEAKER	NEUTRAL
fill_in_the_blank	ACTOR	POSITIVE
fill_one's_shoes	SPEAKER	POSITIVE
fill_the_bill	SPEAKER	POSITIVE
find_a_solution	SPEAKER	NEGATIVE
find_an_answer	ACTOR	NEUTRAL
find_fault	ACTOR	NEGATIVE
find_one's_voice	ACTOR	POSITIVE
find_one's_way	ACTOR	POSITIVE
find_out_the_hard_way	ACTOR	NEGATIVE
find_work	SPEAKER	POSITIVE
fish_or_cut_bait	SPEAKER	NEGATIVE
fit_like_a_glove	SPEAKER	POSITIVE
fit_the_bill	SPEAKER	POSITIVE
flip_one's_lid	SPEAKER	NEGATIVE
flip_one's_wig	SPEAKER	NEGATIVE
float_with_the_stream	SPEAKER	NEUTRAL
flood_the_market	SPEAKER	NEGATIVE
fly_in_the_face	SPEAKER	NEGATIVE
fly_in_the_face_of	SPEAKER	NEGATIVE
foam_at_the_mouth	SPEAKER	NEGATIVE
follow_one's_example	ACTOR	POSITIVE
follow_one's_lead	ACTOR	POSITIVE
follow_suit	ACTOR	POSITIVE
form_part_of	SPEAKER	NEUTRAL
gain_ground	SPEAKER	NEUTRAL
gasp_for_breath	ACTOR	NEUTRAL
gather_dust	SPEAKER	NEGATIVE
gather_momentum	SPEAKER	POSITIVE
gather_pace	SPEAKER	POSITIVE
gather_rosebuds	ACTOR	POSITIVE
get_a_charge_out_of	ACTOR	POSITIVE
get_a_clue	ACTOR	NEGATIVE
get_a_grip	ACTOR	NEGATIVE
get_a_handle	SPEAKER	NEUTRAL
get_a_handle_on	SPEAKER	NEUTRAL
get_a_kick_out	ACTOR	POSITIVE
get_a_kick_out_of	ACTOR	POSITIVE
get_a_life	SPEAKER	NEGATIVE
get_a_load_of	SPEAKER	NEUTRAL
get_a_pair	SPEAKER	NEGATIVE
get_a_raw_deal	SPEAKER	NEGATIVE
get_a_rise_out	SPEAKER	NEGATIVE
get_away_with_murder	SPEAKER	NEGATIVE
get_blood_from_a_stone	ACTOR	NEGATIVE
get_down_to_business	SPEAKER	NEUTRAL
get_hold_of	SPEAKER	POSITIVE
get_in_contact_with	ACTOR	NEUTRAL
get_in_on_the_act	ACTOR	POSITIVE
get_in_the_way	SPEAKER	NEGATIVE
get_in_touch	ACTOR	NEUTRAL
get_into_the_act	ACTOR	POSITIVE
get_into_trouble	SPEAKER	NEGATIVE
get_life	ACTOR	NEGATIVE
get_notice	ACTOR	NEUTRAL
get_off_one's_chest	ACTOR	POSITIVE
get_off_the_ground	SPEAKER	POSITIVE
get_off_to_a_good_start	SPEAKER	POSITIVE
get_on_one's_nerves	ACTOR	NEGATIVE
get_on_the_same_page	ACTOR	POSITIVE
get_one's_act_together	ACTOR	POSITIVE
get_one's_drift	ACTOR	POSITIVE
get_one's_fair_share	SPEAKER	POSITIVE
get_one's_hands_dirty	SPEAKER	NEGATIVE
get_one's_hands_on	SPEAKER	POSITIVE
get_one's_head_around	SPEAKER	NEGATIVE
get_one's_own_way	SPEAKER	NEGATIVE
get_one's_teeth_into	ACTOR	POSITIVE
get_one's_way	ACTOR	NEGATIVE
get_out_of_hand	SPEAKER	NEGATIVE
get_out_of_the_way	ACTOR	NEGATIVE
get_some_air	ACTOR	POSITIVE
get_that_way	SPEAKER	NEUTRAL
get_the_best_of	SPEAKER	NEUTRAL
get_the_best_out_of	SPEAKER	POSITIVE
get_the_better_of	SPEAKER	NEUTRAL
get_the_hang_of	SPEAKER	POSITIVE
get_the_hint	ACTOR	NEUTRAL
get_the_idea	ACTOR	POSITIVE
get_the_last_laugh	SPEAKER	POSITIVE
get_the_message	ACTOR	POSITIVE
get_the_most_out_of	SPEAKER	POSITIVE
get_the_picture	ACTOR	POSITIVE
get_the_point	ACTOR	POSITIVE
get_the_time	ACTOR	POSITIVE
get_the_upper_hand	SPEAKER	NEUTRAL
get_to_the_bottom	ACTOR	NEGATIVE
get_to_the_bottom_of	ACTOR	NEGATIVE
get_to_the_point	SPEAKER	POSITIVE
get_to_the_top_of	SPEAKER	POSITIVE
get_under_one's_skin	ACTOR	NEUTRAL
get_wind	ACTOR	NEUTRAL
get_wind_of	ACTOR	NEUTRAL
get_with_the_program	SPEAKER	POSITIVE
give_advice	ACTOR	POSITIVE
give_an_opportunity	ACTOR	POSITIVE
give_credence_to	ACTOR	POSITIVE
give_face	ACTOR	POSITIVE
give_ground	ACTOR	NEGATIVE
give_heed	ACTOR	NEUTRAL
give_it_a_go	ACTOR	POSITIVE
give_one's_all	SPEAKER	POSITIVE
give_one_a_break	ACTOR	POSITIVE
give_one_a_hand	ACTOR	POSITIVE
give_one_a_hard_time	SPEAKER	NEGATIVE
give_one_a_run_for_one's_money	SPEAKER	POSITIVE
give_one_a_try	ACTOR	NEUTRAL
give_one_one's_due	SPEAKER	POSITIVE
give_one_the_benefit_of_the_doubt	ACTOR	NEUTRAL
give_one_the_creeps	ACTOR	NEGATIVE
give_one_the_impression	ACTOR	NEUTRAL
give_rise_to	SPEAKER	NEUTRAL
give_somebody_a_piece_of_one's_mind	ACTOR	NEGATIVE
give_someone_the_heebie-jeebies	ACTOR	NEGATIVE
give_someone_the_willies	ACTOR	NEGATIVE
give_something_a_go	ACTOR	POSITIVE
give_something_a_try	ACTOR	POSITIVE
give_something_a_whirl	ACTOR	POSITIVE
give_something_the_old_college_try	ACTOR	POSITIVE
give_the_game_away	SPEAKER	NEGATIVE
give_the_impression	SPEAKER	NEUTRAL
give_the_lie_to	SPEAKER	NEGATIVE
give_up_all_hope	ACTOR	NEGATIVE
give_up_hope	ACTOR	NEGATIVE
give_up_the_ghost	SPEAKER	NEGATIVE
give_voice	ACTOR	NEUTRAL
give_voice_to	ACTOR	NEUTRAL
give_way	SPEAKER	NEGATIVE
go_a_long_way	SPEAKER	POSITIVE
go_about_one's_business	SPEAKER	NEUTRAL
go_against_the_grain	SPEAKER	NEUTRAL
go_all_out	SPEAKER	POSITIVE
go_all_the_way	SPEAKER	NEUTRAL
go_ape	SPEAKER	NEGATIVE
go_ballistic	SPEAKER	NEGATIVE
go_bananas	SPEAKER	NEGATIVE
go_belly_up	SPEAKER	NEGATIVE
go_bonkers	SPEAKER	NEGATIVE
go_by_the_name_of	SPEAKER	NEUTRAL
go_fly_a_kite	SPEAKER	NEGATIVE
go_for_the_jugular	SPEAKER	NEGATIVE
go_for_the_kill	SPEAKER	NEGATIVE
go_for_the_throat	SPEAKER	NEGATIVE
go_from_bad_to_worse	SPEAKER	NEGATIVE
go_gold	SPEAKER	POSITIVE
go_hand_in_hand	SPEAKER	NEUTRAL
go_into_labor	ACTOR	NEUTRAL
go_nuts	SPEAKER	NEGATIVE
go_off_the_deep_end	ACTOR	NEGATIVE
go_off_the_rails	SPEAKER	NEGATIVE
go_on_strike	ACTOR	NEGATIVE
go_one's_own_way	SPEAKER	NEUTRAL
go_one's_way	SPEAKER	NEUTRAL
go_out_of_business	SPEAKER	NEGATIVE
go_out_of_fashion	SPEAKER	NEGATIVE
go_out_of_one's_way	SPEAKER	POSITIVE
go_out_on_a_limb	SPEAKER	NEGATIVE
go_out_the_window	SPEAKER	NEGATIVE
go_out_with_a_bang	SPEAKER	NEUTRAL
go_platinum	SPEAKER	POSITIVE
go_potty	SPEAKER	NEGATIVE
go_the_distance	SPEAKER	POSITIVE
go_the_extra_mile	SPEAKER	POSITIVE
go_the_way_of	SPEAKER	NEUTRAL
go_the_way_of_the_buffalo	SPEAKER	NEGATIVE
go_the_way_of_the_dinosaurs	SPEAKER	NEGATIVE
go_the_way_of_the_dodo	SPEAKER	NEGATIVE
go_the_whole_hog	ACTOR	POSITIVE
go_the_whole_nine_yards	SPEAKER	POSITIVE
go_the_wrong_way	SPEAKER	NEGATIVE
go_through_hell	ACTOR	NEGATIVE
go_to_Halifax	SPEAKER	NEGATIVE
go_to_be_with_the_Lord	SPEAKER	NEGATIVE
go_to_bed_with	ACTOR	POSITIVE
go_to_earth	ACTOR	NEGATIVE
go_to_hell	SPEAKER	NEGATIVE
go_to_one's_head	SPEAKER	NEGATIVE
go_to_the_heart_of	SPEAKER	NEUTRAL
go_to_the_police	ACTOR	NEGATIVE
go_to_town	SPEAKER	POSITIVE
go_to_trial	ACTOR	NEUTRAL
go_to_war	ACTOR	NEGATIVE
go_to_waste	SPEAKER	NEGATIVE
go_up_in_smoke	SPEAKER	NEGATIVE
go_with_the_flow	SPEAKER	NEUTRAL
grease_the_wheels	SPEAKER	POSITIVE
grin_from_ear_to_ear	ACTOR	POSITIVE
grind_one's_teeth	ACTOR	NEGATIVE
grind_to_a_halt	SPEAKER	NEGATIVE
grit_one's_teeth	ACTOR	NEGATIVE
grow_a_pair	SPEAKER	NEGATIVE
hammer_home	ACTOR	POSITIVE
hang_in_the_balance	SPEAKER	POSITIVE
hang_on_every_word	ACTOR	POSITIVE
have_a_ball	ACTOR	POSITIVE
have_a_blast	ACTOR	POSITIVE
have_a_bone_to_pick	ACTOR	NEGATIVE
have_a_break	ACTOR	POSITIVE
have_a_chip_on_one's_shoulder	SPEAKER	NEGATIVE
have_a_clear_idea	ACTOR	POSITIVE
have_a_couple	SPEAKER	NEGATIVE
have_a_crack_at	ACTOR	POSITIVE
have_a_crow_to_pull	ACTOR	NEGATIVE
have_a_crush_on	ACTOR	POSITIVE
have_a_feeling	ACTOR	NEUTRAL
have_a_field_day	ACTOR	POSITIVE
have_a_fit	SPEAKER	NEGATIVE
have_a_flair_for	SPEAKER	POSITIVE
have_a_fling	ACTOR	POSITIVE
have_a_future	SPEAKER	POSITIVE
have_a_gift_for	SPEAKER	POSITIVE
have_a_go	ACTOR	NEUTRAL
have_a_go_at	ACTOR	NEUTRAL
have_a_good_time	ACTOR	POSITIVE
have_a_great_future	SPEAKER	POSITIVE
have_a_grudge_against	ACTOR	NEGATIVE
have_a_hand_in	SPEAKER	NEUTRAL
have_a_handle_on	SPEAKER	POSITIVE
have_a_hard_time	ACTOR	NEGATIVE
have_a_heart	SPEAKER	POSITIVE
have_a_hunch	ACTOR	NEUTRAL
have_a_laugh	ACTOR	POSITIVE
have_a_look	ACTOR	NEUTRAL
have_a_mind_of_one's_own	SPEAKER	POSITIVE
have_a_pair	SPEAKER	NEGATIVE
have_a_part_in	SPEAKER	NEUTRAL
have_a_place_in	SPEAKER	NEUTRAL
have_a_right_to	SPEAKER	POSITIVE
have_a_say	SPEAKER	POSITIVE
have_a_shot	ACTOR	NEUTRAL
have_a_soft_spot_for	ACTOR	POSITIVE
have_a_stake_in	ACTOR	POSITIVE
have_a_thing	ACTOR	POSITIVE
have_a_vested_interest	ACTOR	POSITIVE
have_a_way_with	SPEAKER	POSITIVE
have_a_word	ACTOR	NEUTRAL
have_access_to	ACTOR	NEUTRAL
have_an_affair	ACTOR	NEGATIVE
have_an_air	SPEAKER	NEUTRAL
have_an_axe_to_grind	ACTOR	NEGATIVE
have_an_ear_for	SPEAKER	POSITIVE
have_an_effect_on	SPEAKER	NEUTRAL
have_an_eye_for	SPEAKER	POSITIVE
have_an_eye_to	ACTOR	POSITIVE
have_an_idea	ACTOR	NEUTRAL
have_an_impact_on	SPEAKER	NEUTRAL
have_an_open_mind	SPEAKER	POSITIVE
have_confidence	ACTOR	POSITIVE
have_control_of	ACTOR	NEUTRAL
have_control_over	ACTOR	NEGATIVE
have_eyes_for	ACTOR	POSITIVE
have_faith	ACTOR	POSITIVE
have_form	SPEAKER	NEGATIVE
have_fun	ACTOR	POSITIVE
have_good_reason	SPEAKER	POSITIVE
have_guts	SPEAKER	NEUTRAL
have_hope	ACTOR	POSITIVE
have_in_mind	ACTOR	NEUTRAL
have_mercy	ACTOR	POSITIVE
have_no_business	SPEAKER	NEGATIVE
have_no_time_for	ACTOR	NEGATIVE
have_no_use_for	ACTOR	NEGATIVE
have_one's_day	SPEAKER	NEUTRAL
have_one's_ear	ACTOR	POSITIVE
have_one's_eye_on	ACTOR	NEUTRAL
have_one's_fun	ACTOR	POSITIVE
have_one's_hands_full	ACTOR	NEGATIVE
have_one's_hands_tied	ACTOR	NEGATIVE
have_one's_head_read	SPEAKER	NEGATIVE
have_one's_name_on	SPEAKER	NEUTRAL
have_one's_number	ACTOR	POSITIVE
have_one's_way	SPEAKER	NEGATIVE
have_one's_way_with	SPEAKER	POSITIVE
have_reason	SPEAKER	POSITIVE
have_second_thoughts	ACTOR	NEUTRAL
have_sex	ACTOR	POSITIVE
have_the_air	SPEAKER	NEUTRAL
have_the_best_of	SPEAKER	POSITIVE
have_the_better_of	SPEAKER	NEUTRAL
have_the_biscuit	SPEAKER	NEGATIVE
have_the_feeling	ACTOR	NEUTRAL
have_the_knack	SPEAKER	POSITIVE
have_the_last_laugh	SPEAKER	POSITIVE
have_the_last_word	SPEAKER	NEUTRAL
have_the_nerve	SPEAKER	NEGATIVE
have_the_time	ACTOR	POSITIVE
have_the_time_of_one's_life	ACTOR	POSITIVE
have_the_upper_hand	SPEAKER	NEUTRAL
have_time	ACTOR	POSITIVE
have_trouble	ACTOR	NEGATIVE
have_words	ACTOR	NEGATIVE
hear_things	SPEAKER	NEGATIVE
hit_a_home_run	SPEAKER	POSITIVE
hit_home	SPEAKER	NEUTRAL
hit_one's_stride	SPEAKER	POSITIVE
hit_the_big_time	SPEAKER	POSITIVE
hit_the_ceiling	SPEAKER	NEGATIVE
hit_the_fan	SPEAKER	NEGATIVE
hit_the_ground_running	SPEAKER	POSITIVE
hit_the_jackpot	SPEAKER	POSITIVE
hit_the_nail_on_the_head	SPEAKER	POSITIVE
hit_the_roof	SPEAKER	NEGATIVE
hit_the_sack	SPEAKER	NEUTRAL
hit_the_spot	SPEAKER	POSITIVE
hit_the_wall	SPEAKER	NEGATIVE
hold_a_grudge	ACTOR	NEGATIVE
hold_hands	ACTOR	POSITIVE
hold_hostage	ACTOR	NEGATIVE
hold_in_high_esteem	ACTOR	POSITIVE
hold_one's_breath	ACTOR	NEGATIVE
hold_one's_own	SPEAKER	POSITIVE
hold_one's_peace	ACTOR	NEUTRAL
hold_one's_water	SPEAKER	POSITIVE
hold_sway	SPEAKER	NEUTRAL
hold_the_bag	ACTOR	NEGATIVE
hold_the_phone	SPEAKER	NEUTRAL
hold_the_reins	SPEAKER	NEUTRAL
hold_to_account	ACTOR	NEGATIVE
hold_water	SPEAKER	POSITIVE
hope_against_hope	SPEAKER	POSITIVE
hope_to_god	ACTOR	POSITIVE
if_it_ain't_broke,_don't_fix_it	SPEAKER	POSITIVE
it_is_easy_to_find_a_stick_to_beat_a_dog	SPEAKER	NEGATIVE
jog_one's_memory	SPEAKER	NEUTRAL
join_the_club	SPEAKER	POSITIVE
jump_at_the_chance	ACTOR	POSITIVE
jump_for_joy	ACTOR	POSITIVE
